timestamp,room,voltage,current,power,energy_kwh,bill_taka,carbon_gco2
2025-11-23 00:22:00,FUB-101,226.07,1.67,377.54,0.006292,0.0629,0.001466
2025-11-23 00:23:00,FUB-101,231.39,0.24,55.53,0.000926,0.0093,0.000216
2025-11-23 00:24:00,FUB-101,224.7,2.23,501.08,0.008351,0.0835,0.001946
2025-11-23 00:25:00,FUB-101,227.6,1.44,327.74,0.005462,0.0546,0.001273
2025-11-23 00:26:00,FUB-101,215.39,2.76,594.48,0.009908,0.0991,0.002309
2025-11-23 00:27:00,FUB-101,233.06,2.13,496.42,0.008274,0.0827,0.001928
2025-11-23 00:28:00,FUB-101,218.46,4.05,884.76,0.014746,0.1475,0.003436
2025-11-23 00:29:00,FUB-101,232.21,0.46,106.82,0.00178,0.0178,0.000415
2025-11-23 00:30:00,FUB-101,217.64,2.49,541.92,0.009032,0.0903,0.002104
2025-11-23 00:31:00,FUB-101,224.41,0.12,26.93,0.000449,0.0045,0.000105
2025-11-23 00:32:00,FUB-101,236.56,1.7,402.15,0.006702,0.067,0.001562
2025-11-23 00:33:00,FUB-101,230.99,1.82,420.4,0.007007,0.0701,0.001633
2025-11-23 00:34:00,FUB-101,236.74,2.85,674.71,0.011245,0.1124,0.00262
2025-11-23 00:35:00,FUB-101,235.68,1.24,292.24,0.004871,0.0487,0.001135
2025-11-23 00:36:00,FUB-101,236.13,3.04,717.84,0.011964,0.1196,0.002788
2025-11-23 00:37:00,FUB-101,225.92,0.23,51.96,0.000866,0.0087,0.000202
2025-11-23 00:38:00,FUB-101,219.11,1.83,400.97,0.006683,0.0668,0.001557
2025-11-23 00:39:00,FUB-101,238.5,3.92,934.92,0.015582,0.1558,0.003631
2025-11-23 00:40:00,FUB-101,232.72,3.95,919.24,0.015321,0.1532,0.00357
2025-11-23 00:41:00,FUB-101,215.02,0.26,55.91,0.000932,0.0093,0.000217
2025-11-23 00:42:00,FUB-101,216.94,1.56,338.43,0.005641,0.0564,0.001314
2025-11-23 00:43:00,FUB-101,230.98,2.14,494.3,0.008238,0.0824,0.001919
2025-11-23 00:44:00,FUB-101,224.55,3.14,705.09,0.011752,0.1175,0.002738
2025-11-23 00:45:00,FUB-101,238.99,1.01,241.38,0.004023,0.0402,0.000937
2025-11-23 00:46:00,FUB-101,220.58,4.19,924.23,0.015404,0.154,0.003589
2025-11-23 00:47:00,FUB-101,220.29,1.92,422.96,0.007049,0.0705,0.001642
2025-11-23 00:48:00,FUB-101,237.13,1.63,386.52,0.006442,0.0644,0.001501
2025-11-23 00:49:00,FUB-101,217.3,4.05,880.06,0.014668,0.1467,0.003418
2025-11-23 00:50:00,FUB-101,226.78,3.35,759.71,0.012662,0.1266,0.00295
2025-11-23 00:51:00,FUB-101,216.22,2.33,503.79,0.008397,0.084,0.001957
2025-11-23 00:52:00,FUB-101,234.07,1.69,395.58,0.006593,0.0659,0.001536
2025-11-23 00:53:00,FUB-101,230.52,3.12,719.22,0.011987,0.1199,0.002793
2025-11-23 00:54:00,FUB-101,218.43,3.7,808.19,0.01347,0.1347,0.003139
2025-11-23 00:55:00,FUB-101,217.57,4.24,922.5,0.015375,0.1538,0.003582
2025-11-23 00:56:00,FUB-101,238.99,3.59,857.97,0.0143,0.143,0.003332
2025-11-23 00:57:00,FUB-101,234.75,3.47,814.58,0.013576,0.1358,0.003163
2025-11-23 00:58:00,FUB-101,231.83,3.56,825.31,0.013755,0.1376,0.003205
2025-11-23 00:59:00,FUB-101,219.31,4.99,1094.36,0.018239,0.1824,0.00425
2025-11-23 01:00:00,FUB-101,230.86,4.66,1075.81,0.01793,0.1793,0.004178
2025-11-23 01:01:00,FUB-101,234.67,2.74,643.0,0.010717,0.1072,0.002497
2025-11-23 01:02:00,FUB-101,219.01,2.19,479.63,0.007994,0.0799,0.001863
2025-11-23 01:03:00,FUB-101,225.87,3.69,833.46,0.013891,0.1389,0.003237
2025-11-23 01:04:00,FUB-101,231.03,4.56,1053.5,0.017558,0.1756,0.004091
2025-11-23 01:05:00,FUB-101,231.94,0.76,176.27,0.002938,0.0294,0.000685
2025-11-23 01:06:00,FUB-101,225.58,3.81,859.46,0.014324,0.1432,0.003337
2025-11-23 01:07:00,FUB-101,221.87,0.22,48.81,0.000814,0.0081,0.00019
2025-11-23 01:08:00,FUB-101,222.0,2.65,588.3,0.009805,0.098,0.002285
2025-11-23 01:09:00,FUB-101,234.16,2.17,508.13,0.008469,0.0847,0.001973
2025-11-23 01:10:00,FUB-101,229.67,0.19,43.64,0.000727,0.0073,0.000169
2025-11-23 01:11:00,FUB-101,230.77,2.21,510.0,0.0085,0.085,0.00198
2025-11-23 01:12:00,FUB-101,223.55,3.68,822.66,0.013711,0.1371,0.003195
2025-11-23 01:13:00,FUB-101,229.02,4.65,1064.94,0.017749,0.1775,0.004136
2025-11-23 01:14:00,FUB-101,217.88,3.31,721.18,0.01202,0.1202,0.002801
2025-11-23 01:15:00,FUB-101,222.24,0.65,144.46,0.002408,0.0241,0.000561
2025-11-23 01:16:00,FUB-101,222.29,1.81,402.34,0.006706,0.0671,0.001562
2025-11-23 01:17:00,FUB-101,229.33,2.25,515.99,0.0086,0.086,0.002004
2025-11-23 01:18:00,FUB-101,225.27,1.13,254.56,0.004243,0.0424,0.000989
2025-11-23 01:19:00,FUB-101,237.37,1.73,410.65,0.006844,0.0684,0.001595
2025-11-23 01:20:00,FUB-101,237.27,2.39,567.08,0.009451,0.0945,0.002202
2025-11-23 01:21:00,FUB-101,217.44,1.43,310.94,0.005182,0.0518,0.001207
2025-11-23 01:22:00,FUB-101,234.71,4.27,1002.21,0.016704,0.167,0.003892
2025-11-23 01:23:00,FUB-101,224.31,1.9,426.19,0.007103,0.071,0.001655
2025-11-23 01:24:00,FUB-101,232.86,1.21,281.76,0.004696,0.047,0.001094
2025-11-23 01:25:00,FUB-101,234.55,3.22,755.25,0.012588,0.1259,0.002933
2025-11-23 01:26:00,FUB-101,233.68,0.62,144.88,0.002415,0.0242,0.000563
2025-11-23 01:27:00,FUB-101,222.01,2.17,481.76,0.008029,0.0803,0.001871
2025-11-23 01:28:00,FUB-101,237.4,4.2,997.08,0.016618,0.1662,0.003872
2025-11-23 01:29:00,FUB-101,233.88,0.37,86.54,0.001442,0.0144,0.000336
2025-11-23 01:30:00,FUB-101,239.32,3.5,837.62,0.01396,0.1396,0.003253
2025-11-23 01:31:00,FUB-101,236.74,0.28,66.29,0.001105,0.0111,0.000257
2025-11-23 01:32:00,FUB-101,216.58,0.56,121.28,0.002021,0.0202,0.000471
2025-11-23 01:33:00,FUB-101,223.71,4.85,1084.99,0.018083,0.1808,0.004213
2025-11-23 01:34:00,FUB-101,228.91,2.1,480.71,0.008012,0.0801,0.001867
2025-11-23 01:35:00,FUB-101,220.04,0.2,44.01,0.000734,0.0073,0.000171
2025-11-23 01:36:00,FUB-101,217.54,1.21,263.22,0.004387,0.0439,0.001022
2025-11-23 01:37:00,FUB-101,229.64,0.16,36.74,0.000612,0.0061,0.000143
2025-11-23 01:38:00,FUB-101,218.82,1.86,407.01,0.006784,0.0678,0.001581
2025-11-23 01:39:00,FUB-101,222.53,1.31,291.51,0.004858,0.0486,0.001132
2025-11-23 01:40:00,FUB-101,239.35,4.69,1122.55,0.018709,0.1871,0.004359
2025-11-23 01:41:00,FUB-101,225.51,2.89,651.72,0.010862,0.1086,0.002531
2025-11-23 01:42:00,FUB-101,226.42,4.84,1095.87,0.018264,0.1826,0.004256
2025-11-23 01:43:00,FUB-101,239.53,0.13,31.14,0.000519,0.0052,0.000121
2025-11-23 01:44:00,FUB-101,224.58,4.78,1073.49,0.017892,0.1789,0.004169
2025-11-23 01:45:00,FUB-101,217.58,3.64,791.99,0.0132,0.132,0.003076
2025-11-23 01:46:00,FUB-101,223.34,0.31,69.24,0.001154,0.0115,0.000269
2025-11-23 01:47:00,FUB-101,215.64,3.07,662.01,0.011034,0.1103,0.002571
2025-11-23 01:48:00,FUB-101,228.89,1.83,418.87,0.006981,0.0698,0.001627
2025-11-23 01:49:00,FUB-101,228.79,4.24,970.07,0.016168,0.1617,0.003767
2025-11-23 01:50:00,FUB-101,228.02,3.32,757.03,0.012617,0.1262,0.00294
2025-11-23 01:51:00,FUB-101,233.43,3.44,803.0,0.013383,0.1338,0.003118
2025-11-23 01:52:00,FUB-101,216.09,1.51,326.3,0.005438,0.0544,0.001267
2025-11-23 01:53:00,FUB-101,221.07,3.18,703.0,0.011717,0.1172,0.00273
2025-11-23 01:54:00,FUB-101,227.66,3.53,803.64,0.013394,0.1339,0.003121
2025-11-23 01:55:00,FUB-101,239.02,3.81,910.67,0.015178,0.1518,0.003536
2025-11-23 01:56:00,FUB-101,239.18,1.67,399.43,0.006657,0.0666,0.001551
2025-11-23 01:57:00,FUB-101,226.49,3.55,804.04,0.013401,0.134,0.003122
2025-11-23 01:58:00,FUB-101,230.71,1.98,456.81,0.007614,0.0761,0.001774
2025-11-23 01:59:00,FUB-101,229.78,3.08,707.72,0.011795,0.118,0.002748
2025-11-23 02:00:00,FUB-101,216.26,2.36,510.37,0.008506,0.0851,0.001982
2025-11-23 02:01:00,FUB-101,235.77,2.22,523.41,0.008723,0.0872,0.002032
2025-11-23 02:02:00,FUB-101,226.05,2.79,630.68,0.010511,0.1051,0.002449
2025-11-23 02:03:00,FUB-101,234.66,0.6,140.8,0.002347,0.0235,0.000547
2025-11-23 02:04:00,FUB-101,223.35,0.73,163.05,0.002718,0.0272,0.000633
2025-11-23 02:05:00,FUB-101,217.37,0.27,58.69,0.000978,0.0098,0.000228
2025-11-23 02:06:00,FUB-101,228.31,1.23,280.82,0.00468,0.0468,0.00109
2025-11-23 02:07:00,FUB-101,222.07,2.72,604.03,0.010067,0.1007,0.002346
2025-11-23 02:08:00,FUB-101,234.58,1.66,389.4,0.00649,0.0649,0.001512
2025-11-23 02:09:00,FUB-101,220.77,0.44,97.14,0.001619,0.0162,0.000377
2025-11-23 02:10:00,FUB-101,233.71,2.26,528.18,0.008803,0.088,0.002051
2025-11-23 02:11:00,FUB-101,229.87,0.37,85.05,0.001418,0.0142,0.00033
2025-11-23 02:12:00,FUB-101,234.02,4.44,1039.05,0.017318,0.1732,0.004035
2025-11-23 02:13:00,FUB-101,239.52,3.98,953.29,0.015888,0.1589,0.003702
2025-11-23 02:14:00,FUB-101,232.64,0.96,223.33,0.003722,0.0372,0.000867
2025-11-23 02:15:00,FUB-101,228.14,3.66,834.99,0.013916,0.1392,0.003242
2025-11-23 02:16:00,FUB-101,235.32,1.64,385.92,0.006432,0.0643,0.001499
2025-11-23 02:17:00,FUB-101,224.85,2.25,505.91,0.008432,0.0843,0.001965
2025-11-23 02:18:00,FUB-101,228.95,4.13,945.56,0.015759,0.1576,0.003672
2025-11-23 02:19:00,FUB-101,237.75,4.54,1079.38,0.01799,0.1799,0.004192
2025-11-23 02:20:00,FUB-101,237.54,1.11,263.67,0.004394,0.0439,0.001024
2025-11-23 02:21:00,FUB-101,235.51,2.56,602.91,0.010048,0.1005,0.002341
2025-11-23 02:22:00,FUB-101,231.63,2.39,553.6,0.009227,0.0923,0.00215
2025-11-23 02:23:00,FUB-101,217.3,3.17,688.84,0.011481,0.1148,0.002675
2025-11-23 02:24:00,FUB-101,229.06,4.1,939.15,0.015652,0.1565,0.003647
2025-11-23 02:25:00,FUB-101,236.67,3.82,904.08,0.015068,0.1507,0.003511
2025-11-23 02:26:00,FUB-101,234.76,4.75,1115.11,0.018585,0.1859,0.00433
2025-11-23 02:27:00,FUB-101,220.2,4.23,931.45,0.015524,0.1552,0.003617
2025-11-23 02:28:00,FUB-101,215.75,1.04,224.38,0.00374,0.0374,0.000871
2025-11-23 02:29:00,FUB-101,238.52,1.24,295.76,0.004929,0.0493,0.001148
2025-11-23 02:30:00,FUB-101,223.68,3.77,843.27,0.014054,0.1405,0.003275
2025-11-23 02:31:00,FUB-101,216.96,3.29,713.8,0.011897,0.119,0.002772
2025-11-23 02:32:00,FUB-101,221.51,1.51,334.48,0.005575,0.0558,0.001299
2025-11-23 02:33:00,FUB-101,223.01,3.97,885.35,0.014756,0.1476,0.003438
2025-11-23 02:34:00,FUB-101,223.01,2.29,510.69,0.008512,0.0851,0.001983
2025-11-23 02:35:00,FUB-101,222.29,3.08,684.65,0.011411,0.1141,0.002659
2025-11-23 02:36:00,FUB-101,239.74,1.26,302.07,0.005034,0.0503,0.001173
2025-11-23 02:37:00,FUB-101,229.15,1.44,329.98,0.0055,0.055,0.001282
2025-11-23 02:38:00,FUB-101,215.61,4.28,922.81,0.01538,0.1538,0.003584
2025-11-23 02:39:00,FUB-101,233.94,0.11,25.73,0.000429,0.0043,0.0001
2025-11-23 02:40:00,FUB-101,238.31,0.12,28.6,0.000477,0.0048,0.000111
2025-11-23 02:41:00,FUB-101,228.52,4.38,1000.92,0.016682,0.1668,0.003887
2025-11-23 02:42:00,FUB-101,235.44,0.66,155.39,0.00259,0.0259,0.000603
2025-11-23 02:43:00,FUB-101,215.78,2.28,491.98,0.0082,0.082,0.001911
2025-11-23 02:44:00,FUB-101,219.88,4.95,1088.41,0.01814,0.1814,0.004227
2025-11-23 02:45:00,FUB-101,224.38,3.42,767.38,0.01279,0.1279,0.00298
2025-11-23 02:46:00,FUB-101,231.34,3.15,728.72,0.012145,0.1214,0.00283
2025-11-23 02:47:00,FUB-101,215.48,0.96,206.86,0.003448,0.0345,0.000803
2025-11-23 02:48:00,FUB-101,238.89,0.1,23.89,0.000398,0.004,9.3e-05
2025-11-23 02:49:00,FUB-101,230.6,2.39,551.13,0.009186,0.0919,0.00214
2025-11-23 02:50:00,FUB-101,221.03,4.38,968.11,0.016135,0.1614,0.003759
2025-11-23 02:51:00,FUB-101,217.7,3.5,761.95,0.012699,0.127,0.002959
2025-11-23 02:52:00,FUB-101,218.75,1.56,341.25,0.005688,0.0569,0.001325
2025-11-23 02:53:00,FUB-101,218.58,2.45,535.52,0.008925,0.0893,0.00208
2025-11-23 02:54:00,FUB-101,223.21,0.42,93.75,0.001562,0.0156,0.000364
2025-11-23 02:55:00,FUB-101,222.67,4.7,1046.55,0.017442,0.1744,0.004064
2025-11-23 02:56:00,FUB-101,225.49,2.56,577.25,0.009621,0.0962,0.002242
2025-11-23 02:57:00,FUB-101,223.62,0.88,196.79,0.00328,0.0328,0.000764
2025-11-23 02:58:00,FUB-101,227.63,0.34,77.39,0.00129,0.0129,0.000301
2025-11-23 02:59:00,FUB-101,216.92,3.05,661.61,0.011027,0.1103,0.002569
2025-11-23 03:00:00,FUB-101,223.36,2.58,576.27,0.009604,0.096,0.002238
2025-11-23 03:01:00,FUB-101,226.46,4.95,1120.98,0.018683,0.1868,0.004353
2025-11-23 03:02:00,FUB-101,218.44,1.27,277.42,0.004624,0.0462,0.001077
2025-11-23 03:03:00,FUB-101,230.86,0.64,147.75,0.002462,0.0246,0.000574
2025-11-23 03:04:00,FUB-101,220.53,0.56,123.5,0.002058,0.0206,0.00048
2025-11-23 03:05:00,FUB-101,219.86,0.62,136.31,0.002272,0.0227,0.000529
2025-11-23 03:06:00,FUB-101,218.25,1.3,283.73,0.004729,0.0473,0.001102
2025-11-23 03:07:00,FUB-101,232.72,3.37,784.27,0.013071,0.1307,0.003046
2025-11-23 03:08:00,FUB-101,233.15,4.04,941.93,0.015699,0.157,0.003658
2025-11-23 03:09:00,FUB-101,222.18,0.45,99.98,0.001666,0.0167,0.000388
2025-11-23 03:10:00,FUB-101,216.75,2.04,442.17,0.00737,0.0737,0.001717
2025-11-23 03:11:00,FUB-101,225.14,4.06,914.07,0.015235,0.1524,0.00355
2025-11-23 03:12:00,FUB-101,216.2,2.73,590.23,0.009837,0.0984,0.002292
2025-11-23 03:13:00,FUB-101,215.33,4.95,1065.88,0.017765,0.1776,0.004139
2025-11-23 03:14:00,FUB-101,238.77,4.48,1069.69,0.017828,0.1783,0.004154
2025-11-23 03:15:00,FUB-101,235.19,1.11,261.06,0.004351,0.0435,0.001014
2025-11-23 03:16:00,FUB-101,223.73,2.71,606.31,0.010105,0.101,0.002354
2025-11-23 03:17:00,FUB-101,218.52,3.74,817.26,0.013621,0.1362,0.003174
2025-11-23 03:18:00,FUB-101,234.92,2.44,573.2,0.009553,0.0955,0.002226
2025-11-23 03:19:00,FUB-101,218.23,0.62,135.3,0.002255,0.0226,0.000525
2025-11-23 03:20:00,FUB-101,220.29,3.86,850.32,0.014172,0.1417,0.003302
2025-11-23 03:21:00,FUB-101,221.36,1.23,272.27,0.004538,0.0454,0.001057
2025-11-23 03:22:00,FUB-101,222.16,4.52,1004.16,0.016736,0.1674,0.003899
2025-11-23 03:23:00,FUB-101,225.09,2.43,546.97,0.009116,0.0912,0.002124
2025-11-23 03:24:00,FUB-101,233.62,1.32,308.38,0.00514,0.0514,0.001198
2025-11-23 03:25:00,FUB-101,225.99,3.35,757.07,0.012618,0.1262,0.00294
2025-11-23 03:26:00,FUB-101,217.56,2.71,589.59,0.009826,0.0983,0.002289
2025-11-23 03:27:00,FUB-101,218.77,4.77,1043.53,0.017392,0.1739,0.004052
2025-11-23 03:28:00,FUB-101,230.0,2.73,627.9,0.010465,0.1046,0.002438
2025-11-23 03:29:00,FUB-101,221.77,4.24,940.3,0.015672,0.1567,0.003652
2025-11-23 03:30:00,FUB-101,218.1,4.23,922.56,0.015376,0.1538,0.003583
2025-11-23 03:31:00,FUB-101,229.59,1.02,234.18,0.003903,0.039,0.000909
2025-11-23 03:32:00,FUB-101,239.81,1.39,333.34,0.005556,0.0556,0.001295
2025-11-23 03:33:00,FUB-101,228.79,4.93,1127.93,0.018799,0.188,0.00438
2025-11-23 03:34:00,FUB-101,231.59,3.81,882.36,0.014706,0.1471,0.003426
2025-11-23 03:35:00,FUB-101,221.5,2.26,500.59,0.008343,0.0834,0.001944
2025-11-23 03:36:00,FUB-101,236.31,3.53,834.17,0.013903,0.139,0.003239
2025-11-23 03:37:00,FUB-101,234.17,1.19,278.66,0.004644,0.0464,0.001082
2025-11-23 03:38:00,FUB-101,237.35,3.22,764.27,0.012738,0.1274,0.002968
2025-11-23 03:39:00,FUB-101,233.88,0.46,107.58,0.001793,0.0179,0.000418
2025-11-23 03:40:00,FUB-101,222.91,4.29,956.28,0.015938,0.1594,0.003714
2025-11-23 03:41:00,FUB-101,221.6,2.11,467.58,0.007793,0.0779,0.001816
2025-11-23 03:42:00,FUB-101,218.33,0.43,93.88,0.001565,0.0156,0.000365
2025-11-23 03:43:00,FUB-101,219.7,3.41,749.18,0.012486,0.1249,0.002909
2025-11-23 03:44:00,FUB-101,215.08,4.31,926.99,0.01545,0.1545,0.0036
2025-11-23 03:45:00,FUB-101,223.45,2.86,639.07,0.010651,0.1065,0.002482
2025-11-23 03:46:00,FUB-101,234.21,3.46,810.37,0.013506,0.1351,0.003147
2025-11-23 03:47:00,FUB-101,226.35,0.55,124.49,0.002075,0.0208,0.000483
2025-11-23 03:48:00,FUB-101,223.57,2.52,563.4,0.00939,0.0939,0.002188
2025-11-23 03:49:00,FUB-101,239.37,0.96,229.8,0.00383,0.0383,0.000892
2025-11-23 03:50:00,FUB-101,233.08,4.03,939.31,0.015655,0.1566,0.003648
2025-11-23 03:51:00,FUB-101,232.92,1.46,340.06,0.005668,0.0567,0.001321
2025-11-23 03:52:00,FUB-101,236.68,4.02,951.45,0.015858,0.1586,0.003695
2025-11-23 03:53:00,FUB-101,219.65,1.93,423.92,0.007065,0.0706,0.001646
2025-11-23 03:54:00,FUB-101,229.57,1.91,438.48,0.007308,0.0731,0.001703
2025-11-23 03:55:00,FUB-101,237.39,0.69,163.8,0.00273,0.0273,0.000636
2025-11-23 03:56:00,FUB-101,236.14,3.87,913.86,0.015231,0.1523,0.003549
2025-11-23 03:57:00,FUB-101,234.81,1.23,288.82,0.004814,0.0481,0.001122
2025-11-23 03:58:00,FUB-101,215.01,1.36,292.41,0.004874,0.0487,0.001136
2025-11-23 03:59:00,FUB-101,226.31,2.99,676.67,0.011278,0.1128,0.002628
2025-11-23 04:00:00,FUB-101,228.95,4.78,1094.38,0.01824,0.1824,0.00425
2025-11-23 04:01:00,FUB-101,225.92,3.74,844.94,0.014082,0.1408,0.003281
2025-11-23 04:02:00,FUB-101,230.19,3.3,759.63,0.01266,0.1266,0.00295
2025-11-23 04:03:00,FUB-101,218.07,2.05,447.04,0.007451,0.0745,0.001736
2025-11-23 04:04:00,FUB-101,228.77,0.83,189.88,0.003165,0.0316,0.000737
2025-11-23 04:05:00,FUB-101,215.64,1.58,340.71,0.005678,0.0568,0.001323
2025-11-23 04:06:00,FUB-101,223.02,4.9,1092.8,0.018213,0.1821,0.004244
2025-11-23 04:07:00,FUB-101,218.15,1.66,362.13,0.006036,0.0604,0.001406
2025-11-23 04:08:00,FUB-101,216.28,2.75,594.77,0.009913,0.0991,0.00231
2025-11-23 04:09:00,FUB-101,218.72,1.54,336.83,0.005614,0.0561,0.001308
2025-11-23 04:10:00,FUB-101,226.43,4.38,991.76,0.016529,0.1653,0.003851
2025-11-23 04:11:00,FUB-101,231.83,3.72,862.41,0.014374,0.1437,0.003349
2025-11-23 04:12:00,FUB-101,224.76,4.01,901.29,0.015021,0.1502,0.0035
2025-11-23 04:13:00,FUB-101,216.58,4.79,1037.42,0.01729,0.1729,0.004029
2025-11-23 04:14:00,FUB-101,223.29,2.86,638.61,0.010644,0.1064,0.00248
2025-11-23 04:15:00,FUB-101,223.74,4.69,1049.34,0.017489,0.1749,0.004075
2025-11-23 04:16:00,FUB-101,235.22,4.9,1152.58,0.01921,0.1921,0.004476
2025-11-23 04:17:00,FUB-101,239.73,3.7,887.0,0.014783,0.1478,0.003444
2025-11-23 04:18:00,FUB-101,218.52,2.27,496.04,0.008267,0.0827,0.001926
2025-11-23 04:19:00,FUB-101,234.59,4.67,1095.54,0.018259,0.1826,0.004254
2025-11-23 04:20:00,FUB-101,236.37,4.76,1125.12,0.018752,0.1875,0.004369
2025-11-23 04:21:00,FUB-101,233.18,1.47,342.77,0.005713,0.0571,0.001331
2025-11-23 04:22:00,FUB-101,239.09,4.05,968.31,0.016138,0.1614,0.00376
2025-11-23 04:23:00,FUB-101,230.44,4.51,1039.28,0.017321,0.1732,0.004036
2025-11-23 04:24:00,FUB-101,218.23,2.03,443.01,0.007384,0.0738,0.00172
2025-11-23 04:25:00,FUB-101,237.24,1.17,277.57,0.004626,0.0463,0.001078
2025-11-23 04:26:00,FUB-101,216.89,1.96,425.1,0.007085,0.0708,0.001651
2025-11-23 04:27:00,FUB-101,220.31,4.37,962.75,0.016046,0.1605,0.003739
2025-11-23 04:28:00,FUB-101,235.07,2.6,611.18,0.010186,0.1019,0.002373
2025-11-23 04:29:00,FUB-101,216.78,2.39,518.1,0.008635,0.0864,0.002012
2025-11-23 04:30:00,FUB-101,234.39,1.6,375.02,0.00625,0.0625,0.001456
2025-11-23 04:31:00,FUB-101,225.76,1.93,435.72,0.007262,0.0726,0.001692
2025-11-23 04:32:00,FUB-101,226.51,0.9,203.86,0.003398,0.034,0.000792
2025-11-23 04:33:00,FUB-101,223.11,1.01,225.34,0.003756,0.0376,0.000875
2025-11-23 04:34:00,FUB-101,217.24,4.46,968.89,0.016148,0.1615,0.003762
2025-11-23 04:35:00,FUB-101,222.91,0.77,171.64,0.002861,0.0286,0.000667
2025-11-23 04:36:00,FUB-101,220.6,4.12,908.87,0.015148,0.1515,0.003529
2025-11-23 04:37:00,FUB-101,237.94,2.45,582.95,0.009716,0.0972,0.002264
2025-11-23 04:38:00,FUB-101,234.23,4.55,1065.75,0.017762,0.1776,0.004139
2025-11-23 04:39:00,FUB-101,238.77,0.17,40.59,0.000676,0.0068,0.000158
2025-11-23 04:40:00,FUB-101,238.8,1.34,319.99,0.005333,0.0533,0.001243
2025-11-23 04:41:00,FUB-101,230.09,4.37,1005.49,0.016758,0.1676,0.003905
2025-11-23 04:42:00,FUB-101,226.62,1.07,242.48,0.004041,0.0404,0.000942
2025-11-23 04:43:00,FUB-101,220.23,3.03,667.3,0.011122,0.1112,0.002591
2025-11-23 04:44:00,FUB-101,223.89,0.89,199.26,0.003321,0.0332,0.000774
2025-11-23 04:45:00,FUB-101,235.45,2.31,543.89,0.009065,0.0907,0.002112
2025-11-23 04:46:00,FUB-101,227.33,3.39,770.65,0.012844,0.1284,0.002993
2025-11-23 04:47:00,FUB-101,227.43,3.82,868.78,0.01448,0.1448,0.003374
2025-11-23 04:48:00,FUB-101,235.89,0.27,63.69,0.001062,0.0106,0.000247
2025-11-23 04:49:00,FUB-101,217.26,0.4,86.9,0.001448,0.0145,0.000337
2025-11-23 04:50:00,FUB-101,239.98,3.06,734.34,0.012239,0.1224,0.002852
2025-11-23 04:51:00,FUB-101,216.71,4.53,981.7,0.016362,0.1636,0.003812
2025-11-23 04:52:00,FUB-101,215.96,4.46,963.18,0.016053,0.1605,0.00374
2025-11-23 04:53:00,FUB-101,231.87,1.77,410.41,0.00684,0.0684,0.001594
2025-11-23 04:54:00,FUB-101,216.45,3.94,852.81,0.014213,0.1421,0.003312
2025-11-23 04:55:00,FUB-101,218.56,1.56,340.95,0.005682,0.0568,0.001324
2025-11-23 04:56:00,FUB-101,221.7,1.75,387.98,0.006466,0.0647,0.001507
2025-11-23 04:57:00,FUB-101,229.26,1.12,256.77,0.00428,0.0428,0.000997
2025-11-23 04:58:00,FUB-101,231.9,4.8,1113.12,0.018552,0.1855,0.004323
2025-11-23 04:59:00,FUB-101,238.3,2.11,502.81,0.00838,0.0838,0.001953
2025-11-23 05:00:00,FUB-101,228.75,0.24,54.9,0.000915,0.0092,0.000213
2025-11-23 05:01:00,FUB-101,223.85,0.85,190.27,0.003171,0.0317,0.000739
